75,K702
75,B238
74,X43
74,S260
74,I359
73,K802
72,Q211
72,M419
70,Y10
69,B99
68,M542
68,G470
67,T140
67,M796
67,K701
67,K650
67,I615
67,A410
66,T431
66,M513
66,F152
65,K767
65,G938
64,S368
64,C859
63,R578
63,I700
63,D649
62,X63
62,T506
62,M255
62,K550
61,T455
61,T441
61,R104
61,J851
61,J60
61,F205
60,K761
59,J981
59,F200
59,A499
58,M869
58,K768
57,C189
56,K868
56,I610
56,F103
55,T503
55,L089
55,L024
54,S273
54,R074
54,G978
54,E875
53,R798
53,M109
53,I620
53,I515
53,I458
52,T111
52,S129
52,R630
52,R02
52,K85
52,C259
51,T460
51,I460
51,F609
50,T139
50,K20
50,E871
49,T145
49,M329
49,J840
49,I672
49,F132
49,F03
48,L029
48,J101
48,C220
47,T451
47,R001
47,I319
46,T463
46,R781
46,R730
46,N119
46,M790
46,L984
46,K829
45,T486
45,R782
44,J154
43,I693
42,M819
42,M480
41,T490
41,M489
41,K254
41,F411
41,C64
40,R943
40,K264
40,I614
40,I427
40,I129
40,F439
40,E849
40,E660
39,T504
39,T487
39,T425
39,K852
39,J111
39,B208
38,K732
38,G935
38,E101
37,T019
37,L929
37,J46
37,J450
37,I471
36,S141
36,R091
36,M541
36,K279
36,J90
36,D689
36,C61
36,C159
35,S828
35,S720
35,S361
35,K297
35,K296
35,I498
35,I249
34,J219
33,T485
33,O998
33,N40
33,L905
33,E145
32,T446
32,T414
32,K566
32,I059
32,F410
31,T392
31,R410
31,Q612
31,N151
31,I978
31,I409
31,D65
30,T501
30,L899
30,I348
30,E063
30,C539
29,T448
29,T400
29,T388
29,S423
29,N280
29,N170
29,N039
29,K519
29,I456
29,I279
29,F988
29,F107
29,D749
29,B348
29,B169
28,T508
28,T387
28,R680
28,Q059
28,I638
28,I252
28,E859
28,C73
28,C329
28,C229
27,T444
27,S270
27,R064
27,K318
27,K259
27,J069
27,I400
27,I358
27,F432
27,F169
27,F122
27,A491
26,S729
26,Q254
26,M890
26,L97
26,K579
26,I829
26,I248
26,G809
26,G122
26,F140
26,E271
25,T242
25,Q796
25,M359
25,J948
25,G20
25,G10
25,F29
25,E854
25,C819
25,C56
25,B199
25,A169
24,T58
24,T491
24,R571
24,R17
24,M519
24,M349
24,K766
24,K721
24,K661
24,J13
24,I472
24,G419
24,E112
24,E059
23,T381
23,N26
23,K631
23,K274
23,K255
23,J129
23,G92
23,F603
23,F193
23,D573
22,T119
22,S519
22,S278
22,Q874
22,K929
22,K831
22,J958
22,J182
22,C20
22,B207
22,B201
22,A099
21,T466
21,T189
21,T10
21,S369
21,R629
21,R418
21,R13
21,Q850
21,O960
21,M45
21,K639
21,J441
21,I340
21,E079
21,D849
21,C900
21,A412
20,T471
20,T08
20,S350
20,R600
20,Q208
20,N859
20,M898
20,K660
20,J939
20,I671
20,F39
20,F189
20,F113
20,E050
20,D696
20,C798
20,C787
20,C140
19,T475
19,T470
19,Q909
19,O268
19,N309
19,N300
19,M512
19,L409
19,I803
19,F500
19,C679
19,B948
19,B349
18,T210
18,T148
18,T131
18,S360
18,R81
18,R33
18,Q248
18,Q213
18,K088
18,I421
18,I139
18,I078
18,G710
18,F429
18,E831
18,E43
18,D860
18,C921
18,C719
18,C169
18,A415
17,T659
17,T458
17,T147
17,T142
17,S999
17,S699
17,S271
17,R634
17,R468
17,R065
17,Q070
17,P044
17,J398
17,J100
17,I779
17,I634
17,I339
17,I312
17,I308
17,G629
17,F104
17,E147
17,C780
17,C629
16,T495
16,T368
16,T199
16,T042
16,S269
16,S019
16,R91
16,R740
16,N649
16,M729
16,M313
16,L033
16,K228
16,G822
16,E876
16,E870
16,E840
16,E144
16,E102
16,D350
16,C099
16,B49
16,B220
15,T159
15,S224
15,S119
15,R601
15,R591
15,J47
15,I611
15,I132
15,F840
15,F502
15,F489
15,E41
15,C439
14,T454
14,T191
14,T12
14,R443
14,Q871
14,Q203
14,O994
14,N809
14,M602
14,M543
14,M432
14,M352
14,L89
14,K810
14,K593
14,K529
14,J82
14,J411
14,G939
14,G932
14,F79
14,E789
14,C959
14,C419
13,Y13
13,S318
13,R008
13,Q899
13,N059
13,M791
13,M479
13,K469
13,K409
13,K269
13,K223
13,K221
13,J150
13,J09
13,I776
13,I698
13,I632
13,I079
13,F919
13,F509
13,E111
13,D735
13,D71
12,W80
12,T469
12,T375
12,T175
12,S363
12,R826
12,R252
12,R05
12,R011
12,Q282
12,Q251
12,Q210
12,P073
12,N183
12,N009
12,M009
12,L928
12,L405
12,K830
12,K801
12,K589
12,K37
12,I214
12,I099
12,G919
12,C911
12,B181
12,A498
11,T457
11,T445
11,T319
11,S929
11,S628
11,S499
11,S268
11,S219
11,R401
11,R34
11,Q898
11,Q878
11,Q780
11,Q289
11,M866
11,M478
11,M348
11,K900
11,K860
11,K449
11,K290
11,K265
11,J980
11,I850
11,G969
11,G825
11,G700
11,F339
11,F308
11,D619
11,D432
11,C029
11,B942
11,B227
10,W78
10,T482
10,T380
10,T371
10,S328
10,R783
10,R599
10,R200
10,O995
10,O364
10,N133
10,M899
10,M509
10,M462
10,M350
10,L732
10,K920
10,K754
10,K750
10,K590
10,K089
10,K047
10,K029
10,J359
10,J151
10,I630
10,G610
10,E140
10,D732
10,C910
10,C795
10,B59
10,B340
10,B222
10,B218
9,T385
9,T363
9,T144
9,T041
9,S822
9,R95
9,R789
9,R102
9,N739
9,M792
9,K869
9,K567
9,K562
9,J22
9,J188
9,J128
9,I510
9,I501
9,I301
9,G210
9,E065
9,D570
9,C920
9,C444
9,C109
9,A692
9,A400
8,T474
8,T364
8,S060
8,S026
8,R825
8,R749
8,R042
8,Q893
8,Q872
8,Q279
8,N832
8,N301
8,N139
8,M758
8,M609
8,M469
8,M300
8,K753
8,K711
8,K578
8,K403
8,K222
8,J942
8,J620
8,I773
8,I771
8,I608
8,I495
8,I447
8,I313
8,I309
8,G968
8,G600
8,G406
8,G319
8,G009
8,F845
8,F332
8,F220
8,E249
8,E160
8,D868
8,D759
8,D66
8,D259
8,C833
8,C793
8,C221
8,A162
7,X31
7,T71
7,T500
7,T480
7,T422
7,T370
7,T091
7,T009
7,S824
7,S799
7,S364
7,S320
7,S029
7,S018
7,S008
7,R98
7,R413
7,R233
7,R230
7,R040
7,Q602
7,Q244
7,Q239
7,O992
7,O903
7,O101
7,N840
7,N159
7,N028
7,M879
7,M622
7,M310
