13,K509
13,J852
13,I693
13,C679
12,T486
12,T438
12,S368
12,R634
12,M419
12,L930
12,L031
12,K740
12,K550
12,K254
12,I714
12,I613
12,C900
12,C64
11,X63
11,T510
11,T504
11,T140
11,R788
11,R418
11,R263
11,M869
11,M321
11,K661
11,K659
11,J850
11,J40
11,J159
11,I99
11,F54
11,B24
10,T467
10,S066
10,R17
10,R074
10,R02
10,N12
10,L899
10,K529
10,K274
10,J869
10,I614
10,I472
10,I272
10,D649
10,C229
9,T503
9,T448
9,T431
9,T111
9,S328
9,S299
9,R91
9,R609
9,R601
9,R18
9,R104
9,R042
9,Q613
9,N184
9,L089
9,K768
9,J989
9,I710
9,I700
9,I359
9,G92
9,G470
9,E112
9,C159
8,T446
8,T093
8,S399
8,S250
8,R161
8,L039
8,K802
8,K579
8,K279
8,J848
8,J60
8,J441
8,F142
8,E875
8,E145
8,D619
7,T494
7,T490
7,T463
7,S828
7,R600
7,R34
7,R160
7,N170
7,N10
7,N009
7,M809
7,M548
7,M353
7,M255
7,L984
7,K920
7,K650
7,K590
7,K318
7,J209
7,J152
7,I495
7,I442
7,G473
7,D70
7,D329
7,C851
7,C819
7,C798
7,C787
7,C20
7,B238
6,T471
6,T409
6,T139
6,T10
6,S369
6,S361
6,R33
6,R31
6,R040
6,Q245
6,L97
6,L512
6,L511
6,K761
6,K20
6,J942
6,J42
6,I610
6,F432
6,C169
6,B99
5,T519
5,T456
5,S519
5,S350
5,S320
5,S278
5,S273
5,S224
5,R636
5,R51
5,R198
5,R162
5,Q231
5,N309
5,M898
5,M796
5,M726
5,M541
5,M349
5,M316
5,L89
5,L409
5,L024
5,K829
5,K810
5,K701
5,K639
5,K631
5,K562
5,K519
5,K449
5,K265
5,J982
5,J981
5,J61
5,I779
5,I698
5,I498
5,I458
5,I426
5,I340
5,I319
5,I249
5,I129
5,F181
5,F172
5,E871
5,E789
5,C911
5,C56
5,C55
5,C439
5,C029
5,B203
4,T495
4,T474
4,T469
4,T142
4,T029
