bucket,sex,race,overall,position,letter,count
PLUS65,f,UNKRACE,0,4,S,11913
PLUS65,f,UNKRACE,0,4,P,801
PLUS65,f,UNKRACE,0,4,A,1998
PLUS65,f,UNKRACE,0,4,H,130
PLUS65,f,UNKRACE,0,5,U,19990
PLUS65,f,UNKRACE,0,5,B,21963
PLUS65,f,UNKRACE,0,5,R,13893
PLUS65,f,UNKRACE,0,5,F,7878
PLUS65,f,UNKRACE,0,5,N,24166
PLUS65,f,UNKRACE,0,5,X,3578
PLUS65,f,UNKRACE,0,5,C,8335
PLUS65,f,UNKRACE,0,5,E,24268
PLUS65,f,UNKRACE,0,5,D,11266
PLUS65,f,UNKRACE,0,5,S,2983
PLUS65,f,UNKRACE,0,5,T,4280
PLUS65,f,UNKRACE,0,5,A,632
PLUS65,f,UNKRACE,0,5,P,282
PLUS65,f,UNKRACE,0,5,H,55
PLUS65,f,UNKRACE,0,6,E,4348
PLUS65,f,UNKRACE,0,6,X,906
PLUS65,f,UNKRACE,0,6,S,571
PLUS65,f,UNKRACE,0,6,D,1901
PLUS65,f,UNKRACE,0,6,B,3343
PLUS65,f,UNKRACE,0,6,U,5137
PLUS65,f,UNKRACE,0,6,T,708
PLUS65,f,UNKRACE,0,6,R,1894
PLUS65,f,UNKRACE,0,6,C,1388
PLUS65,f,UNKRACE,0,6,N,3226
PLUS65,f,UNKRACE,0,6,F,1817
PLUS65,f,UNKRACE,0,6,A,141
PLUS65,f,UNKRACE,0,6,P,64
PLUS65,f,UNKRACE,0,6,H,23
PLUS65,f,UNKRACE,0,7,C,250
PLUS65,f,UNKRACE,0,7,D,252
PLUS65,f,UNKRACE,0,7,X,160
PLUS65,f,UNKRACE,0,7,U,763
PLUS65,f,UNKRACE,0,7,R,221
PLUS65,f,UNKRACE,0,7,F,353
PLUS65,f,UNKRACE,0,7,N,404
PLUS65,f,UNKRACE,0,7,T,95
PLUS65,f,UNKRACE,0,7,B,379
PLUS65,f,UNKRACE,0,7,E,548
PLUS65,f,UNKRACE,0,7,S,103
PLUS65,f,UNKRACE,0,7,A,19
PLUS65,f,UNKRACE,0,7,P,14
PLUS65,f,UNKRACE,0,7,H,1
PLUS65,f,UNKRACE,0,8,N,33
PLUS65,f,UNKRACE,0,8,E,61
PLUS65,f,UNKRACE,0,8,U,84
PLUS65,f,UNKRACE,0,8,A,5
PLUS65,f,UNKRACE,0,8,D,27
PLUS65,f,UNKRACE,0,8,X,20
PLUS65,f,UNKRACE,0,8,S,11
PLUS65,f,UNKRACE,0,8,F,48
PLUS65,f,UNKRACE,0,8,B,31
PLUS65,f,UNKRACE,0,8,R,22
PLUS65,f,UNKRACE,0,8,C,28
PLUS65,f,UNKRACE,0,8,T,5
PLUS65,f,UNKRACE,0,8,P,3
PLUS65,f,UNKRACE,0,8,H,1
85+,f,UNKRACE,0,1,B,2044382
85+,f,UNKRACE,0,1,C,451617
85+,f,UNKRACE,0,1,N,1385667
85+,f,UNKRACE,0,1,D,117425
85+,f,UNKRACE,0,1,E,134196
85+,f,UNKRACE,0,1,X,16269
85+,f,UNKRACE,0,1,R,513431
85+,f,UNKRACE,0,1,S,43297
85+,f,UNKRACE,0,1,T,18723
85+,f,UNKRACE,0,1,F,21899
85+,f,UNKRACE,0,1,U,5301
85+,f,UNKRACE,0,1,P,1149
85+,f,UNKRACE,0,1,A,675
85+,f,UNKRACE,0,1,H,98
85+,f,UNKRACE,0,2,N,968755
85+,f,UNKRACE,0,2,B,786983
