scheme,bucket,sex,race,letter,weight
4,85+,f,UNKRACE,N,1471490.8133031682
4,85+,f,UNKRACE,C,364853.2442479993
4,85+,f,UNKRACE,D,103152.25071252853
4,85+,f,UNKRACE,E,178140.3467192465
4,85+,f,UNKRACE,R,509361.3251767304
4,85+,f,UNKRACE,X,12371.383392018395
4,85+,f,UNKRACE,S,36043.206663195066
4,85+,f,UNKRACE,U,16904.1109255992
4,85+,f,UNKRACE,T,21136.196971092817
4,85+,f,UNKRACE,F,21181.13547841671
4,85+,f,UNKRACE,A,561.0130813630801
4,85+,f,UNKRACE,P,1165.3486943612095
4,85+,f,UNKRACE,H,252.23334443334485
1,55-64,f,UNKRACE,C,436744.0
1,55-64,f,UNKRACE,N,169172.0
1,55-64,f,UNKRACE,E,53369.0
1,55-64,f,UNKRACE,B,275662.0
1,55-64,f,UNKRACE,S,14078.0
1,55-64,f,UNKRACE,R,106108.0
1,55-64,f,UNKRACE,D,44323.0
1,55-64,f,UNKRACE,T,18082.0
1,55-64,f,UNKRACE,A,13531.0
1,55-64,f,UNKRACE,U,6154.0
1,55-64,f,UNKRACE,P,18194.0
1,55-64,f,UNKRACE,X,3533.0
1,55-64,f,UNKRACE,H,281.0
1,55-64,f,UNKRACE,F,1903.0
1,UNDER65,f,UNKRACE,C,771575.0
1,UNDER65,f,UNKRACE,N,378943.0
1,UNDER65,f,UNKRACE,E,100422.0
1,UNDER65,f,UNKRACE,T,109930.0
1,UNDER65,f,UNKRACE,U,22055.0
1,UNDER65,f,UNKRACE,B,490796.0
1,UNDER65,f,UNKRACE,D,88303.0
1,UNDER65,f,UNKRACE,S,85698.0
1,UNDER65,f,UNKRACE,P,125270.0
1,UNDER65,f,UNKRACE,R,177763.0
1,UNDER65,f,UNKRACE,X,11603.0
1,UNDER65,f,UNKRACE,A,41630.0
1,UNDER65,f,UNKRACE,H,3530.0
1,UNDER65,f,UNKRACE,F,3624.0
2,55-64,f,UNKRACE,C,362286.1071428935
2,55-64,f,UNKRACE,N,218902.94543637236
2,55-64,f,UNKRACE,E,69017.81329362623
2,55-64,f,UNKRACE,B,274503.1132935273
2,55-64,f,UNKRACE,S,11055.046031746017
2,55-64,f,UNKRACE,H,1107.6083333333327
2,55-64,f,UNKRACE,R,117162.42757943185
2,55-64,f,UNKRACE,A,11114.852976190296
2,55-64,f,UNKRACE,D,47901.540674595075
